iter	RMSE
0	14791.54467
1	14759.86391
2	14707.85593
3	14670.64022
4	14637.06447
5	14611.71678
6	14582.00376
7	14551.05225
8	14505.09265
9	14476.23939
10	14434.56138
11	14405.94567
12	14383.88068
13	14343.97227
14	14311.99259
15	14297.78208
16	14278.24761
17	14266.91242
18	14250.93623
19	14232.81903
20	14211.57337
21	14191.37558
22	14175.48918
23	14164.30577
24	14147.25413
25	14117.21374
26	14101.09043
27	14068.89622
28	14052.9496
29	14037.5095
30	14027.85754
31	14000.4013
32	13986.59207
33	13966.73981
34	13952.26873
35	13938.66514
36	13926.60211
37	13908.8961
38	13899.90964
39	13888.58359
40	13869.26749
41	13864.43655
42	13852.6843
43	13840.25322
44	13817.67242
45	13804.72257
46	13791.83361
47	13773.24454
48	13753.4437
49	13739.4263
50	13722.81725
51	13703.53322
52	13692.1301
53	13682.74466
54	13677.31097
55	13664.47718
56	13648.88442
57	13640.18331
58	13626.77643
59	13615.96171
60	13602.68412
61	13593.81563
62	13572.02578
63	13551.27049
64	13532.99213
65	13517.77738
66	13497.46488
67	13487.77128
68	13476.55411
69	13463.42518
70	13450.80186
71	13442.23327
72	13429.80121
73	13417.21598
74	13401.72428
75	13392.86558
76	13377.05489
77	13365.42418
78	13357.92333
79	13349.36445
80	13338.27496
81	13335.7344
82	13318.41175
83	13307.88637
84	13302.15121
85	13293.89557
86	13284.81441
87	13278.69657
88	13266.38001
89	13256.8881
90	13245.41273
91	13230.19261
92	13217.52449
93	13211.96657
94	13208.37174
95	13196.86238
96	13186.90911
97	13171.65036
98	13163.94912
99	13157.14959
100	13144.42673
101	13134.60095
102	13119.06249
103	13110.38844
104	13100.65085
105	13091.79578
106	13085.6782
107	13075.24085
108	13066.13838
109	13061.58691
110	13055.74631
111	13047.81051
112	13039.38229
113	13030.32148
114	13025.84398
115	13017.51092
116	13009.53596
117	12998.80189
118	12993.18751
119	12980.40061
120	12977.70514
121	12965.06987
122	12958.09021
123	12951.53192
124	12946.87632
125	12939.39933
126	12928.67093
127	12918.16421
128	12903.9183
129	12889.76108
130	12877.26478
131	12867.90098
132	12858.16513
133	12851.69773
134	12840.1538
135	12834.06485
136	12825.27756
137	12819.302
138	12811.09673
139	12804.51085
140	12795.38811
141	12790.26913
142	12784.25335
143	12772.69779
144	12767.5871
145	12753.07954
146	12746.38964
147	12741.98373
148	12734.891
149	12719.82563
150	12716.57446
151	12709.09629
152	12700.73296
153	12690.37631
154	12680.40686
155	12668.94359
